authority_code,doc_id,date,lat,lng,html,local_authority,location,country,body,impacts,source_html,source_id,readout_title,report_document,report_reference
GB-HEF,19,2020-02-16,52.0786626,-2.9392622,"<div id=""html_efeea3c25660ff148d89669ef41d6977"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Moccas</h1><div class=""nugget-popup""><p>Overland (surface) flows were identified as the most likely flood mechanism affecting Moccas. A small watercourse located close to one property may have contributed to flooding at that property. (p3)</p></div><i>Quantified impacts</i><div class=""nugget-popup quant""><p>one property (p3)</p></div></div></body></div>",Herefordshire,Moccas,England,Overland (surface) flows were identified as the most likely flood mechanism affecting Moccas. A small watercourse located close to one property may have contributed to flooding at that property. (p3),one property (p3),GB-HEF_19_2020-02-16.html,GB-HEF_19_2020-02-16,Moccas flooding 16 Feb 2020,Herefordshire 2019/20 Section 19 Report: Moccas,055/Herefordshire County/18/Moccas.pdf
GB-BKM,21,2020-12-23,51.9956161,-0.9913407,"<div id=""html_1fd75b7548848e7db3c49b13f4bebeea"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>University of Buckingham</h1><div class=""nugget-popup""><p>University buildings at risk were sand&ndash;bagged and electrical equipment was moved to reduce flood damage. After the event the University provided emergency accommodation to students whose homes had been flooded and set up a fund offering grants to local residents who had been flooded. (p6)</p></div></div></body></div>",Buckinghamshire,University of Buckingham,England,University buildings at risk were sand–bagged and electrical equipment was moved to reduce flood damage. After the event the University provided emergency accommodation to students whose homes had been flooded and set up a fund offering grants to local residents who had been flooded. (p6),,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,52.1278302,-0.4250206,"<div id=""html_c814de3fb6ba2e84023d76eb9538d043"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>River Great Ouse</h1><div class=""nugget-popup""><p>The River Great Ouse experienced extreme flows during the event on 23rd and 24th December 2020, producing elevated flood risk along its corridor through Buckingham. This prompted designated flood warning areas for low&ndash;lying locations alongside the river (Fulwell, Radclive and parts of Buckingham) and threatened streets and residential areas adjacent to the channel. [IMG] (p29)</p></div></div></body></div>",Buckinghamshire,River Great Ouse,England,"The River Great Ouse experienced extreme flows during the event on 23rd and 24th December 2020, producing elevated flood risk along its corridor through Buckingham. This prompted designated flood warning areas for low–lying locations alongside the river (Fulwell, Radclive and parts of Buckingham) and threatened streets and residential areas adjacent to the channel. [IMG] (p29)",,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,51.9999734,-0.9764254,"<div id=""html_8c94067259bbd7d8186ef131b106405c"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>March Edge, Buckingham</h1><div class=""nugget-popup""><p>Occurrence of sewer (and associated surface water) flooding affecting March Edge; actions to improve response (sewer flow monitor alarms and a 2&ndash;hour response target) were implemented following the flooding. (p7)</p></div><div class=""nugget-popup""><p>Residents reported flooding at March Edge during the December 2020 event; Anglian Water implemented sewer flow monitor alarms to speed response and set a red&ndash;flag 2&ndash;hour response target to resident reports (action marked complete). [PAG] (p8)</p></div></div></body></div>",Buckinghamshire,"March Edge, Buckingham",England,"Occurrence of sewer (and associated surface water) flooding affecting March Edge; actions to improve response (sewer flow monitor alarms and a 2–hour response target) were implemented following the flooding. (p7)
Residents reported flooding at March Edge during the December 2020 event; Anglian Water implemented sewer flow monitor alarms to speed response and set a red–flag 2–hour response target to resident reports (action marked complete). [PAG] (p8)",,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,51.86619751869193,-0.8610230642396219,"<div id=""html_c1f2a98cfcbfcddf240683d0ebd7262d"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Buckinghamshire</h1><div class=""nugget-popup""><p>Across the county there were widespread flood impacts during the storm: Transport for Buckinghamshire managed many road closures and issued sandbags prioritised by need. Anglian Water reported very high flows in its network, pumping stations ran at full capacity, staff visited locations experiencing surface water and foul sewage flooding and advised some residents not to flush toilets. Council incident teams and volunteer LALOs were deployed countywide to support communities. (p6)</p></div></div></body></div>",Buckinghamshire,Buckinghamshire,England,"Across the county there were widespread flood impacts during the storm: Transport for Buckinghamshire managed many road closures and issued sandbags prioritised by need. Anglian Water reported very high flows in its network, pumping stations ran at full capacity, staff visited locations experiencing surface water and foul sewage flooding and advised some residents not to flush toilets. Council incident teams and volunteer LALOs were deployed countywide to support communities. (p6)",,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,51.998318,-0.9786725,"<div id=""html_113d6bb1b40926e013cd2b83414ee230"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Buckingham</h1><div class=""nugget-popup""><p>Internal flooding of residential properties in the town. The December 2020 event caused internal flooding to properties; previous events in April 1998 and July 2007 also resulted in substantial property flooding, with additional smaller events in November 2012 and March 2016. [MUL] (p5)</p></div><div class=""nugget-popup""><p>Properties in Buckingham flooded during the storm; the Environment Agency issued a Flood Warning only after many properties had already flooded, limiting residents' ability to respond. Roads in and around the town were closed. Community volunteers used pumps and buckets to protect properties; the Community Centre was opened for food, drink and rest. The University of Buckingham sand&ndash;bagged at&ndash;risk buildings, moved electrical equipment, provided emergency accommodation to students whose homes were flooded, and set up a local grants fund. (p6)</p></div><div class=""nugget-popup""><p>Flooding caused internal flooding of properties (including non&ndash;residential), external flooding to properties, flooding of roads and car parks, displacement of residents, damage to possessions and stock, and financial and mental&ndash;health impacts for residents. [PAG] (p7)</p></div><div class=""nugget-popup""><p>Internal flooding of residential properties, including basements; the flooding event caused internal flooding to at least 72 properties in the town. (p14)</p></div><div class=""nugget-popup""><p>The town, situated on the River Great Ouse which flows through the centre, was impacted by flooding during the 23rd&ndash;24th December 2020 event. [PAG] (p15)</p></div><div class=""nugget-popup""><p>River Great Ouse floodwaters affected low&ndash;lying areas of Buckingham adjacent to the river. Flood warning areas and zones included specific streets and neighbourhoods in the town, indicating river flooding risk and exposure during the extreme flows experienced in December 2020. [IMG] (p29)</p></div><div class=""nugget-popup""><p>Areas of Buckingham alongside the River Great Ouse were subject to extreme river flows during the event on 23rd and 24th December 2020. The town contains low&ndash;lying streets and locations (e.g. Fulwell, Radclive, Brackley Road, Newcombe Crescent, Foundry Drive, School Lane, Nelson Street, Hunter Street, Chandos Road, Victoria Row, Ford Street, Stratford Road, Marsh Edge, West Street, Fisher's Field, Candleford Court, Cornwall's Meadow and Wharfside Place) that are within Environment Agency flood warning areas and were at risk from River Great Ouse flooding during the December 2020 event. [PAG] (p30)</p></div><div class=""nugget-popup""><p>The town experienced flooding in December 2020 which has prompted a review of the Buckingham Flood Plan. [PAG] (p32)</p></div><i>Quantified impacts</i><div class=""nugget-popup quant""><p>at least 72 properties; 75 properties; 96 properties [MUL] (p5)</p></div><div class=""nugget-popup quant""><p>at least 72 properties (including at least 11 non&ndash;residential); at least 15 properties external flooding [PAG] (p7)</p></div><div class=""nugget-popup quant""><p>72 properties (p14)</p></div></div></body></div>",Buckinghamshire,Buckingham,England,"Internal flooding of residential properties in the town. The December 2020 event caused internal flooding to properties; previous events in April 1998 and July 2007 also resulted in substantial property flooding, with additional smaller events in November 2012 and March 2016. [MUL] (p5)
Properties in Buckingham flooded during the storm; the Environment Agency issued a Flood Warning only after many properties had already flooded, limiting residents' ability to respond. Roads in and around the town were closed. Community volunteers used pumps and buckets to protect properties; the Community Centre was opened for food, drink and rest. The University of Buckingham sand–bagged at–risk buildings, moved electrical equipment, provided emergency accommodation to students whose homes were flooded, and set up a local grants fund. (p6)
Flooding caused internal flooding of properties (including non–residential), external flooding to properties, flooding of roads and car parks, displacement of residents, damage to possessions and stock, and financial and mental–health impacts for residents. [PAG] (p7)
Internal flooding of residential properties, including basements; the flooding event caused internal flooding to at least 72 properties in the town. (p14)
The town, situated on the River Great Ouse which flows through the centre, was impacted by flooding during the 23rd–24th December 2020 event. [PAG] (p15)
River Great Ouse floodwaters affected low–lying areas of Buckingham adjacent to the river. Flood warning areas and zones included specific streets and neighbourhoods in the town, indicating river flooding risk and exposure during the extreme flows experienced in December 2020. [IMG] (p29)
Areas of Buckingham alongside the River Great Ouse were subject to extreme river flows during the event on 23rd and 24th December 2020. The town contains low–lying streets and locations (e.g. Fulwell, Radclive, Brackley Road, Newcombe Crescent, Foundry Drive, School Lane, Nelson Street, Hunter Street, Chandos Road, Victoria Row, Ford Street, Stratford Road, Marsh Edge, West Street, Fisher's Field, Candleford Court, Cornwall's Meadow and Wharfside Place) that are within Environment Agency flood warning areas and were at risk from River Great Ouse flooding during the December 2020 event. [PAG] (p30)
The town experienced flooding in December 2020 which has prompted a review of the Buckingham Flood Plan. [PAG] (p32)","at least 72 properties; 75 properties; 96 properties [MUL] (p5)
at least 72 properties (including at least 11 non–residential); at least 15 properties external flooding [PAG] (p7)
72 properties (p14)",GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,51.9810896,-1.010749,"<div id=""html_54db7aa085851f349f58c08b6869a710"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Gawcott</h1><div class=""nugget-popup""><p>Gawcott was impacted by flooding during the 23rd&ndash;24th December 2020 event. (p15)</p></div></div></body></div>",Buckinghamshire,Gawcott,England,Gawcott was impacted by flooding during the 23rd–24th December 2020 event. (p15),,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,51.98981818082121,-1.0445848690069097,"<div id=""html_e1a7dd62766d129efef8a5429c4f0059"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Tingewick</h1><div class=""nugget-popup""><p>Tingewick was impacted by flooding during the 23rd&ndash;24th December 2020 event. (p15)</p></div></div></body></div>",Buckinghamshire,Tingewick,England,Tingewick was impacted by flooding during the 23rd–24th December 2020 event. (p15),,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,52.0336802,-0.9402602,"<div id=""html_097ef48a81781a56e687e4419a444d5d"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Leckhampstead</h1><div class=""nugget-popup""><p>Leckhampstead was impacted by flooding during the 23rd&ndash;24th December 2020 event. (p15)</p></div></div></body></div>",Buckinghamshire,Leckhampstead,England,Leckhampstead was impacted by flooding during the 23rd–24th December 2020 event. (p15),,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
GB-BKM,21,2020-12-23,52.0154955,-0.9053801,"<div id=""html_6893464d39a96890f0faed1d7dc0c93c"" style=""width: 100.0%; height: 100.0%;""><head><meta charset=""utf-8""><link href=""../../../../output/html/style.css"" rel=""stylesheet""/></head><body class=""readout""><div><h1 class='h-popup'>Thornton</h1><div class=""nugget-popup""><p>Thornton and Thornborough were impacted by flooding during the 23rd&ndash;24th December 2020 event. (p15)</p></div></div></body></div>",Buckinghamshire,Thornton,England,Thornton and Thornborough were impacted by flooding during the 23rd–24th December 2020 event. (p15),,GB-BKM_21_2020-12-23.html,GB-BKM_21_2020-12-23,Buckingham flooding 23 Dec 2020 - 24 Dec 2020,Buckingham Section 19 Flood Investigation: Final Technical Report,018/Buckinghamshire County/018/2020/Buckinghamshire County/buckingham/technical/report-final-sept-2021-v1/V3sC5LE.pdf
