category,code,name,parent
council area,GB-ABE,Aberdeen City,GB-SCT
council area,GB-ABD,Aberdeenshire,GB-SCT
council area,GB-ANS,Angus,GB-SCT
district,GB-ANN,Antrim and Newtownabbey,GB-NIR
district,GB-AND,Ards and North Down,GB-NIR
council area,GB-AGB,Argyll and Bute,GB-SCT
district,GB-ABC,"Armagh City, Banbridge and Craigavon",GB-NIR
London borough,GB-BDG,Barking and Dagenham,GB-ENG
London borough,GB-BNE,Barnet,GB-ENG
metropolitan district,GB-BNS,Barnsley,GB-ENG
unitary authority,GB-BAS,Bath and North East Somerset,GB-ENG
unitary authority,GB-BDF,Bedford,GB-ENG
district,GB-BFS,Belfast City,GB-NIR
London borough,GB-BEX,Bexley,GB-ENG
metropolitan district,GB-BIR,Birmingham,GB-ENG
unitary authority,GB-BBD,Blackburn with Darwen,GB-ENG
unitary authority,GB-BPL,Blackpool,GB-ENG
unitary authority,GB-BGW,Blaenau Gwent,GB-WLS
metropolitan district,GB-BOL,Bolton,GB-ENG
unitary authority,GB-BCP*,"Bournemouth, Christchurch and Poole",GB-ENG
unitary authority,GB-BRC,Bracknell Forest,GB-ENG
metropolitan district,GB-BRD,Bradford,GB-ENG
London borough,GB-BEN,Brent,GB-ENG
unitary authority,GB-BGE,Bridgend [Pen-y-bont ar Ogwr GB-POG],GB-WLS
unitary authority,GB-BNH,Brighton and Hove,GB-ENG
unitary authority,GB-BST,"Bristol, City of",GB-ENG
London borough,GB-BRY,Bromley,GB-ENG
unitary authority,GB-BKM,Buckinghamshire,GB-ENG
metropolitan district,GB-BUR,Bury,GB-ENG
unitary authority,GB-CAY,Caerphilly [Caerffili GB-CAF],GB-WLS
metropolitan district,GB-CLD,Calderdale,GB-ENG
two-tier county,GB-CAM,Cambridgeshire,GB-ENG
London borough,GB-CMD,Camden,GB-ENG
unitary authority,GB-CRF,Cardiff [Caerdydd GB-CRD],GB-WLS
unitary authority,GB-CMN,Carmarthenshire [Sir Gaerfyrddin GB-GFY],GB-WLS
district,GB-CCG,Causeway Coast and Glens,GB-NIR
unitary authority,GB-CBF*,Central Bedfordshire,GB-ENG
unitary authority,GB-CGN,Ceredigion [Sir Ceredigion],GB-WLS
unitary authority,GB-CHE*,Cheshire East,GB-ENG
unitary authority,GB-CHW*,Cheshire West and Chester,GB-ENG
council area,GB-CLK,Clackmannanshire,GB-SCT
unitary authority,GB-CWY,Conwy,GB-WLS
unitary authority,GB-CON,Cornwall,GB-ENG
metropolitan district,GB-COV,Coventry,GB-ENG
London borough,GB-CRY,Croydon,GB-ENG
two-tier county,GB-CMA,Cumbria,GB-ENG
unitary authority,GB-DAL,Darlington,GB-ENG
unitary authority,GB-DEN,Denbighshire [Sir Ddinbych GB-DDB],GB-WLS
unitary authority,GB-DER,Derby,GB-ENG
two-tier county,GB-DBY,Derbyshire,GB-ENG
district,GB-DRS,Derry and Strabane,GB-NIR
two-tier county,GB-DEV,Devon,GB-ENG
metropolitan district,GB-DNC,Doncaster,GB-ENG
two-tier county,GB-DOR,Dorset,GB-ENG
metropolitan district,GB-DUD,Dudley,GB-ENG
council area,GB-DGY,Dumfries and Galloway,GB-SCT
council area,GB-DND,Dundee City,GB-SCT
unitary authority,GB-DUR,"Durham, County",GB-ENG
London borough,GB-EAL,Ealing,GB-ENG
council area,GB-EAY,East Ayrshire,GB-SCT
council area,GB-EDU,East Dunbartonshire,GB-SCT
council area,GB-ELN,East Lothian,GB-SCT
council area,GB-ERW,East Renfrewshire,GB-SCT
unitary authority,GB-ERY,East Riding of Yorkshire,GB-ENG
two-tier county,GB-ESX,East Sussex,GB-ENG
council area,GB-EDH,"Edinburgh, City of",GB-SCT
council area,GB-ELS,Eilean Siar,GB-SCT
London borough,GB-ENF,Enfield,GB-ENG
country,GB-ENG,England,
two-tier county,GB-ESS,Essex,GB-ENG
council area,GB-FAL,Falkirk,GB-SCT
district,GB-FMO,Fermanagh and Omagh,GB-NIR
council area,GB-FIF,Fife,GB-SCT
unitary authority,GB-FLN,Flintshire [Sir y Fflint GB-FFL],GB-WLS
metropolitan district,GB-GAT,Gateshead,GB-ENG
council area,GB-GLG,Glasgow City,GB-SCT
two-tier county,GB-GLS,Gloucestershire,GB-ENG
London borough,GB-GRE,Greenwich,GB-ENG
unitary authority,GB-GWN,Gwynedd,GB-WLS
London borough,GB-HCK,Hackney,GB-ENG
unitary authority,GB-HAL,Halton,GB-ENG
London borough,GB-HMF,Hammersmith and Fulham,GB-ENG
two-tier county,GB-HAM,Hampshire,GB-ENG
London borough,GB-HRY,Haringey,GB-ENG
London borough,GB-HRW,Harrow,GB-ENG
unitary authority,GB-HPL,Hartlepool,GB-ENG
London borough,GB-HAV,Havering,GB-ENG
unitary authority,GB-HEF,Herefordshire,GB-ENG
two-tier county,GB-HRT,Hertfordshire,GB-ENG
council area,GB-HLD,Highland,GB-SCT
London borough,GB-HIL,Hillingdon,GB-ENG
London borough,GB-HNS,Hounslow,GB-ENG
council area,GB-IVC,Inverclyde,GB-SCT
unitary authority,GB-AGY,Isle of Anglesey [Sir Ynys Môn GB-YNM],GB-WLS
unitary authority,GB-IOW,Isle of Wight,GB-ENG
unitary authority,GB-IOS*,Isles of Scilly,GB-ENG
London borough,GB-ISL,Islington,GB-ENG
London borough,GB-KEC,Kensington and Chelsea,GB-ENG
two-tier county,GB-KEN,Kent,GB-ENG
unitary authority,GB-KHL,Kingston upon Hull,GB-ENG
London borough,GB-KTT,Kingston upon Thames,GB-ENG
metropolitan district,GB-KIR,Kirklees,GB-ENG
metropolitan district,GB-KWL,Knowsley,GB-ENG
London borough,GB-LBH,Lambeth,GB-ENG
two-tier county,GB-LAN,Lancashire,GB-ENG
metropolitan district,GB-LDS,Leeds,GB-ENG
unitary authority,GB-LCE,Leicester,GB-ENG
two-tier county,GB-LEC,Leicestershire,GB-ENG
London borough,GB-LEW,Lewisham,GB-ENG
two-tier county,GB-LIN,Lincolnshire,GB-ENG
district,GB-LBC,Lisburn and Castlereagh,GB-NIR
